Edad,Edad0,Edad1,Edad2,Genero,Postgrado,Residencia,Interes,Empleo,Empleo0,Empleo1,Modo,Modo1,Modo0,Motivadores,Conocimientos,Atributos
25-34,1,0,0,1,0,0,1,Dependiente jornada completa,0,1,100% online,1,0,Adquirir conocimientos especializados;Cambiar de area laboral;,Emprendimiento tecnologico;Innovacion y desarrollo de productos;Financiamiento y levantamiento de capital;,Prestigio académico de la institución;
25-34,1,0,0,1,0,1,1,Dependiente jornada completa,0,1,100% online,1,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Emprendimiento tecnologico;Financiamiento y levantamiento de capital;Propiedad intelectual y patentes;,Costo total del programa;Duracion del programa;
25-34,1,0,0,1,0,0,0,Dependiente jornada completa,0,1,100% online,1,0,Avanzar en mi carrera profesional;Cambiar de area laboral;,Liderazgo y gestión de equipos;Financiamiento y levantamiento de capital;Innovacion y desarrollo de productos;,Calidad del cuerpo docente;Posibilidad de beca o financiamiento;Redes de contacto y vinculación;
25-34,1,0,0,0,0,0,0,Dependiente jornada completa,0,1,100% online,1,0,Potenciar mi emprendimiento;Adquirir conocimientos especializados;,Emprendimiento tecnologico;Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;,Calidad del cuerpo docente;Costo total del programa;Redes de contacto y vinculación;
34-44,0,1,0,0,1,0,0,Dependiente jornada completa,0,1,100% online,1,0,Cambiar de area laboral;,Innovacion y desarrollo de productos;,Costo total del programa;Prestigio académico de la institución;Duracion del programa;
45 o mas,0,0,1,1,0,1,1,Dependiente jornada completa,0,1,100% online,1,0,Adquirir conocimientos especializados;,Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;Emprendimiento tecnologico;,Costo total del programa;Posibilidad de beca o financiamiento;Duracion del programa;
45 o mas,0,0,1,1,0,0,0,Dependiente jornada completa,0,1,100% online,1,0,Aumentar mi remuneracion;Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;,Prestigio académico de la institución;Costo total del programa;Posibilidad de beca o financiamiento;
45 o mas,0,0,1,1,0,1,0,Dependiente jornada completa,0,1,100% online,1,0,Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;,Posibilidad de beca o financiamiento;
45 o mas,0,0,1,0,0,1,0,Dependiente jornada completa,0,1,100% online,1,0,Aumentar mi remuneracion;Avanzar en mi carrera profesional;,Emprendimiento tecnologico;Innovacion y desarrollo de productos;,Duracion del programa;Posibilidad de beca o financiamiento;Prestigio académico de la institución;
45 o mas,0,0,1,0,0,1,0,Dependiente jornada completa,0,1,100% online,1,0,Avanzar en mi carrera profesional;,Liderazgo y gestión de equipos;,Prestigio académico de la institución;Costo total del programa;Duracion del programa;
45 o mas,0,0,1,0,0,1,1,Independiente / Emprendedor,1,0,100% online,1,0,Cambiar de area laboral;,Emprendimiento tecnologico;,Calidad del cuerpo docente;
45 o mas,0,0,1,0,0,0,0,Independiente / Emprendedor,1,0,100% online,1,0,Potenciar mi emprendimiento;Adquirir conocimientos especializados;,Emprendimiento tecnologico;Financiamiento y levantamiento de capital;Innovacion y desarrollo de productos;,Costo total del programa;Calidad del cuerpo docente;Prestigio académico de la institución;
45 o mas,0,0,1,1,1,1,1,Independiente / Emprendedor,1,0,100% online,1,0,Potenciar mi emprendimiento;Adquirir conocimientos especializados;,Propiedad intelectual y patentes;Liderazgo y gestión de equipos;,Costo total del programa;Duracion del programa;
45 o mas,0,0,1,0,1,1,0,Independiente / Emprendedor,1,0,100% online,1,0,Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Financiamiento y levantamiento de capital;,Prestigio académico de la institución;Calidad del cuerpo docente;Costo total del programa;
25-34,1,0,0,0,1,0,0,Otra,0,0,100% online,1,0,Avanzar en mi carrera profesional;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;Emprendimiento tecnologico;,Calidad del cuerpo docente;Costo total del programa;Posibilidad de beca o financiamiento;
34-44,0,1,0,1,0,1,0,Otra,0,0,100% online,1,0,Adquirir conocimientos especializados;,Vinculación con el ecosistema de innovación;Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Prestigio académico de la institución;Posibilidad de beca o financiamiento;Duracion del programa;
34-44,0,1,0,0,0,1,0,Otra,0,0,100% online,1,0,Aumentar mi remuneracion;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Liderazgo y gestión de equipos;,Calidad del cuerpo docente;Posibilidad de beca o financiamiento;Duracion del programa;
Menos de 25,0,0,0,0,0,0,1,Otra,0,0,100% online,1,0,Avanzar en mi carrera profesional;Aumentar mi remuneracion;,Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;Propiedad intelectual y patentes;,Prestigio académico de la institución;Redes de contacto y vinculación;Calidad del cuerpo docente;
25-34,1,0,0,1,0,0,0,Dependiente jornada completa,0,1,Presencial,0,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;Financiamiento y levantamiento de capital;,Prestigio académico de la institución;Costo total del programa;Posibilidad de beca o financiamiento;
25-34,1,0,0,0,1,0,0,Dependiente jornada completa,0,1,Presencial,0,0,Aumentar mi remuneracion;Adquirir conocimientos especializados;,Emprendimiento tecnologico;Innovacion y desarrollo de productos;,Redes de contacto y vinculación;Posibilidad de beca o financiamiento;Prestigio académico de la institución;
34-44,0,1,0,0,1,0,0,Dependiente jornada completa,0,1,Presencial,0,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;Emprendimiento tecnologico;,Prestigio académico de la institución;Calidad del cuerpo docente;Posibilidad de beca o financiamiento;
45 o mas,0,0,1,1,0,0,1,Dependiente jornada completa,0,1,Presencial,0,0,Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Calidad del cuerpo docente;Posibilidad de beca o financiamiento;Prestigio académico de la institución;
45 o mas,0,0,1,1,0,0,0,Dependiente jornada completa,0,1,Presencial,0,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Vinculación con el ecosistema de innovación;,Posibilidad de beca o financiamiento;Redes de contacto y vinculación;
45 o mas,0,0,1,1,1,0,1,Dependiente jornada completa,0,1,Presencial,0,0,Avanzar en mi carrera profesional;,Innovacion y desarrollo de productos;,Calidad del cuerpo docente;Duracion del programa;Prestigio académico de la institución;
45 o mas,0,0,1,0,1,1,1,Dependiente jornada completa,0,1,Presencial,0,0,Adquirir conocimientos especializados;,Financiamiento y levantamiento de capital;,Prestigio académico de la institución;Costo total del programa;Calidad del cuerpo docente;
45 o mas,0,0,1,1,1,0,1,Dependiente jornada parcial,0,1,Presencial,0,0,Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;,Prestigio académico de la institución;Duracion del programa;Calidad del cuerpo docente;
Menos de 25,0,0,0,0,0,0,0,Dependiente jornada parcial,0,1,Presencial,0,0,Potenciar mi emprendimiento;Avanzar en mi carrera profesional;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Vinculación con el ecosistema de innovación;,Redes de contacto y vinculación;Calidad del cuerpo docente;Prestigio académico de la institución;
25-34,1,0,0,0,1,0,0,Independiente / Emprendedor,1,0,Presencial,0,0,Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Propiedad intelectual y patentes;,Prestigio académico de la institución;Calidad del cuerpo docente;Costo total del programa;
34-44,0,1,0,1,0,0,0,Independiente / Emprendedor,1,0,Presencial,0,0,Potenciar mi emprendimiento;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;,Prestigio académico de la institución;Costo total del programa;Posibilidad de beca o financiamiento;
45 o mas,0,0,1,1,0,1,0,Independiente / Emprendedor,1,0,Presencial,0,0,Aumentar mi remuneracion;,Vinculación con el ecosistema de innovación;,Costo total del programa;Prestigio académico de la institución;
45 o mas,0,0,1,0,0,0,1,Independiente / Emprendedor,1,0,Presencial,0,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Financiamiento y levantamiento de capital;,Redes de contacto y vinculación;Calidad del cuerpo docente;Prestigio académico de la institución;
45 o mas,0,0,1,0,0,0,0,Independiente / Emprendedor,1,0,Presencial,0,0,Avanzar en mi carrera profesional;,Innovacion y desarrollo de productos;Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;,Duracion del programa;Redes de contacto y vinculación;Posibilidad de beca o financiamiento;
45 o mas,0,0,1,0,0,0,0,Independiente / Emprendedor,1,0,Presencial,0,0,Potenciar mi emprendimiento;,Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;,Calidad del cuerpo docente;Costo total del programa;Posibilidad de beca o financiamiento;
45 o mas,0,0,1,0,0,1,0,Independiente / Emprendedor,1,0,Presencial,0,0,Potenciar mi emprendimiento;,Emprendimiento tecnologico;Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;,Prestigio académico de la institución;Calidad del cuerpo docente;Costo total del programa;
45 o mas,0,0,1,1,1,0,1,Independiente / Emprendedor,1,0,Presencial,0,0,Adquirir conocimientos especializados;Potenciar mi emprendimiento;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Redes de contacto y vinculación;Calidad del cuerpo docente;
45 o mas,0,0,1,1,1,0,0,Independiente / Emprendedor,1,0,Presencial,0,0,Cambiar de area laboral;Adquirir conocimientos especializados;,Vinculación con el ecosistema de innovación;Innovacion y desarrollo de productos;,Prestigio académico de la institución;Calidad del cuerpo docente;Costo total del programa;
45 o mas,0,0,1,1,1,1,0,Independiente / Emprendedor,1,0,Presencial,0,0,Aumentar mi remuneracion;,Emprendimiento tecnologico;,Prestigio académico de la institución;Calidad del cuerpo docente;Costo total del programa;
Menos de 25,0,0,0,0,0,0,0,Independiente / Emprendedor,1,0,Presencial,0,0,Aumentar mi remuneracion;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;Emprendimiento tecnologico;,Prestigio académico de la institución;Costo total del programa;Duracion del programa;
25-34,1,0,0,1,0,0,0,Otra,0,0,Presencial,0,0,Adquirir conocimientos especializados;Cambiar de area laboral;,Vinculación con el ecosistema de innovación;Emprendimiento tecnologico;,Redes de contacto y vinculación;Prestigio académico de la institución;Costo total del programa;
25-34,1,0,0,0,1,0,0,Otra,0,0,Presencial,0,0,Potenciar mi emprendimiento;,Financiamiento y levantamiento de capital;,Duracion del programa;Redes de contacto y vinculación;Calidad del cuerpo docente;
34-44,0,1,0,0,1,0,1,Otra,0,0,Presencial,0,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Vinculación con el ecosistema de innovación;Emprendimiento tecnologico;,Prestigio académico de la institución;Calidad del cuerpo docente;Posibilidad de beca o financiamiento;
45 o mas,0,0,1,1,0,0,0,Otra,0,0,Presencial,0,0,Avanzar en mi carrera profesional;,Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;,Prestigio académico de la institución;Calidad del cuerpo docente;
45 o mas,0,0,1,0,1,1,0,Otra,0,0,Presencial,0,0,Aumentar mi remuneracion;,Emprendimiento tecnologico;Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;,Posibilidad de beca o financiamiento;Prestigio académico de la institución;Redes de contacto y vinculación;
Menos de 25,0,0,0,1,0,1,0,Otra,0,0,Presencial,0,0,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;Financiamiento y levantamiento de capital;,Prestigio académico de la institución;Calidad del cuerpo docente;
Menos de 25,0,0,0,0,0,0,0,Otra,0,0,Presencial,0,0,Adquirir conocimientos especializados;Cambiar de area laboral;,Emprendimiento tecnologico;Vinculación con el ecosistema de innovación;Financiamiento y levantamiento de capital;,Prestigio académico de la institución;Calidad del cuerpo docente;Posibilidad de beca o financiamiento;
25-34,1,0,0,1,0,0,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Avanzar en mi carrera profesional;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Vinculación con el ecosistema de innovación;,Prestigio académico de la institución;Costo total del programa;
25-34,1,0,0,1,0,0,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Cambiar de area laboral;,Financiamiento y levantamiento de capital;Vinculación con el ecosistema de innovación;Liderazgo y gestión de equipos;,Calidad del cuerpo docente;Redes de contacto y vinculación;Posibilidad de beca o financiamiento;
25-34,1,0,0,1,0,1,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Aumentar mi remuneracion;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Liderazgo y gestión de equipos;,Calidad del cuerpo docente;Costo total del programa;Posibilidad de beca o financiamiento;
25-34,1,0,0,0,0,0,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Cambiar de area laboral;,Financiamiento y levantamiento de capital;Propiedad intelectual y patentes;Liderazgo y gestión de equipos;,Costo total del programa;Duracion del programa;Prestigio académico de la institución;
25-34,1,0,0,0,0,1,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Cambiar de area laboral;,Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Prestigio académico de la institución;Costo total del programa;Redes de contacto y vinculación;
25-34,1,0,0,0,0,1,0,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Potenciar mi emprendimiento;,Innovacion y desarrollo de productos;Financiamiento y levantamiento de capital;Propiedad intelectual y patentes;,Calidad del cuerpo docente;Costo total del programa;Posibilidad de beca o financiamiento;
25-34,1,0,0,1,1,0,0,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Aumentar mi remuneracion;,Propiedad intelectual y patentes;Vinculación con el ecosistema de innovación;Liderazgo y gestión de equipos;,Costo total del programa;Calidad del cuerpo docente;Posibilidad de beca o financiamiento;
25-34,1,0,0,0,1,0,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Vinculación con el ecosistema de innovación;Propiedad intelectual y patentes;,Prestigio académico de la institución;Calidad del cuerpo docente;Posibilidad de beca o financiamiento;
25-34,1,0,0,0,1,1,1,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Potenciar mi emprendimiento;Aumentar mi remuneracion;,Financiamiento y levantamiento de capital;Propiedad intelectual y patentes;Liderazgo y gestión de equipos;,Costo total del programa;Calidad del cuerpo docente;Redes de contacto y vinculación;
25-34,1,0,0,0,1,0,0,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Avanzar en mi carrera profesional;,Vinculación con el ecosistema de innovación;Innovacion y desarrollo de productos;Financiamiento y levantamiento de capital;,Prestigio académico de la institución;Posibilidad de beca o financiamiento;Redes de contacto y vinculación;
25-34,1,0,0,0,1,1,0,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Potenciar mi emprendimiento;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Propiedad intelectual y patentes;Liderazgo y gestión de equipos;,Prestigio académico de la institución;Calidad del cuerpo docente;Redes de contacto y vinculación;
34-44,0,1,0,1,1,0,0,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Potenciar mi emprendimiento;,Emprendimiento tecnologico;Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;,Costo total del programa;Posibilidad de beca o financiamiento;Prestigio académico de la institución;
34-44,0,1,0,1,1,0,0,Dependiente jornada completa,0,1,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;Financiamiento y levantamiento de capital;,Costo total del programa;Calidad del cuerpo docente;Prestigio académico de la institución;
